id,figür,ana_kategori,evren,oyun_grubu,ölçek,boy,etsy,görsel_sayısı,açıklama_var,klasör
ANM-0001,Toph,Anime,airbender,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\airbender\Toph
ANM-0002,Mikasa and Levi Diorama,Anime,attackontitan,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\attackontitan\Mikasa and Levi Diorama
ANM-0003,NEYTIRI,Anime,Avatar,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Avatar\NEYTIRI
ANM-0004,Varang,Anime,Avatar,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Avatar\Varang
ANM-0005,Korra,Anime,avatar airbender,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\avatar airbender\Korra
ANM-0006,Ichigo,Anime,Bleach,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Bleach\Ichigo
ANM-0007,nelliel Tu,Anime,Bleach,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Bleach\nelliel Tu
ANM-0008,Toushirou Hitsugaya,Anime,Bleach,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Bleach\Toushirou Hitsugaya
ANM-0009,Zaraki Kenpachi,Anime,Bleach,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Bleach\Zaraki Kenpachi
ANM-0010,Gohan SSJ2,Anime,Dragon Ball,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Dragon Ball\Gohan SSJ2
ANM-0011,Vegeta SSJ3,Anime,Dragon Ball,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Dragon Ball\Vegeta SSJ3
ANM-0012,Android 18,Anime,Dragon Ball Z,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Dragon Ball Z\Android 18
ANM-0013,Vegeta,Anime,Dragon Ball Z,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Dragon Ball Z\Vegeta
ANM-0014,gojo,Anime,Jujutsu Kaisen,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Jujutsu Kaisen\gojo
ANM-0015,Maki,Anime,Jujutsu Kaisen,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Jujutsu Kaisen\Maki
ANM-0016,Satoru Gojo,Anime,Jujutsu Kaisen,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Jujutsu Kaisen\Satoru Gojo
ANM-0017,sukuna,Anime,Jujutsu Kaisen,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Jujutsu Kaisen\sukuna
ANM-0018,Gaara,Anime,Naruto,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Gaara
ANM-0019,Itachi,Anime,Naruto,Diğer Oyunlar,,,,2,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Itachi
ANM-0020,Jiraiya,Anime,Naruto,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Jiraiya
ANM-0021,Minato,Anime,Naruto,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Minato
ANM-0022,Naruto Classic,Anime,Naruto,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Naruto Classic
ANM-0023,Orochimaru,Anime,Naruto,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Orochimaru
ANM-0024,Rock Lee,Anime,Naruto,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Rock Lee
ANM-0025,Young Kakashi,Anime,Naruto,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Naruto\Young Kakashi
ANM-0026,Elbaph Nami,Anime,One Piece,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\anime\One Piece\Elbaph Nami
ANM-0027,Kaido,Anime,One Piece,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\anime\One Piece\Kaido
ANM-0028,Luffy,Anime,One Piece,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\One Piece\Luffy
ANM-0029,Zoro,Anime,One Piece,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\anime\One Piece\Zoro
ANM-0030,Ash Ketchum and Pikachu,Anime,Pokemon,Diğer Oyunlar,,,,2,Hayır,C:\Users\baris\NyraCatalogManager\output\anime\Pokemon\Ash Ketchum and Pikachu
ANM-0031,jessie rocket team,Anime,Pokemon,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Pokemon\jessie rocket team
ANM-0032,Misty and Psyduck,Anime,Pokemon,Diğer Oyunlar,,,,3,Hayır,C:\Users\baris\NyraCatalogManager\output\anime\Pokemon\Misty and Psyduck
ANM-0033,Kenshin Himura,Anime,samuraix,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\samuraix\Kenshin Himura
ANM-0034,Sung Jin-Woo,Anime,Solo Leveling,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Solo Leveling\Sung Jin-Woo
ANM-0035,Dark Magician Girl,Anime,Yugioh,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Yugioh\Dark Magician Girl
ANM-0036,Yugi,Anime,Yugioh,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\anime\Yugioh\Yugi
DC-0001,Bane,DC,DC,Diğer Oyunlar,,,,8,Evet,C:\Users\baris\NyraCatalogManager\output\dc\Bane
DC-0002,BANE 2,DC,DC,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\dc\BANE 2
DC-0003,BANE AND BATMAN,DC,DC,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\dc\BANE AND BATMAN
DC-0004,BATMAN,DC,DC,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\dc\BATMAN
DC-0005,BATMAN 2,DC,DC,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\dc\BATMAN 2
DC-0006,CatWoman 2,DC,DC,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\dc\CatWoman 2
DC-0007,CATWOMAN AND BATMAN,DC,DC,Diğer Oyunlar,,,,8,Evet,C:\Users\baris\NyraCatalogManager\output\dc\CATWOMAN AND BATMAN
DC-0008,FLASH GORDON,DC,DC,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\dc\FLASH GORDON
DC-0009,Green Lantern,DC,DC,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\dc\Green Lantern
DC-0010,Harley Trouble In Pink,DC,DC,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\dc\Harley Trouble In Pink
DC-0011,HELLBOY,DC,DC,Diğer Oyunlar,,,,9,Evet,C:\Users\baris\NyraCatalogManager\output\dc\HELLBOY
DC-0012,Joker,DC,DC,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\dc\Joker
DC-0013,joker 2,DC,DC,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\dc\joker 2
DC-0014,Joker 3,DC,DC,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\dc\Joker 3
DC-0015,Joker 4,DC,DC,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\dc\Joker 4
DC-0016,JOKER ABSOLUTE,DC,DC,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\dc\JOKER ABSOLUTE
DC-0017,Oswald Oz Cobb (The Penguin),DC,DC,Diğer Oyunlar,,,,6,Evet,C:\Users\baris\NyraCatalogManager\output\dc\Oswald Oz Cobb (The Penguin)
DC-0018,RIDDLER,DC,DC,Diğer Oyunlar,,,,7,Evet,C:\Users\baris\NyraCatalogManager\output\dc\RIDDLER
GAM-0001,Flashing Banana,Oyun,general,Diğer Oyunlar,,,,1,Hayır,C:\Users\baris\NyraCatalogManager\output\general\Flashing Banana
GAM-0002,Edward Kenway,Oyun,Assassin's Creed,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Assassin's Creed\Edward Kenway
GAM-0003,Ezio,Oyun,Assassin's Creed,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Assassin's Creed\Ezio
GAM-0004,Ezio 2,Oyun,Assassin's Creed,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Assassin's Creed\Ezio 2
GAM-0005,Astarion,Oyun,Baldur's Gate 3,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Baldur's Gate 3\Astarion
GAM-0006,Dame Aylin,Oyun,Baldur's Gate 3,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Baldur's Gate 3\Dame Aylin
GAM-0007,Karlach,Oyun,Baldur's Gate 3,Diğer Oyunlar,,,,4,Hayır,C:\Users\baris\NyraCatalogManager\output\oyun\Baldur's Gate 3\Karlach
GAM-0008,Minthara,Oyun,Baldur's Gate 3,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Baldur's Gate 3\Minthara
GAM-0009,Orin the Red,Oyun,Baldur's Gate 3,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Baldur's Gate 3\Orin the Red
GAM-0010,Shadowheart,Oyun,Baldur's Gate 3,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Baldur's Gate 3\Shadowheart
GAM-0011,The Emperor,Oyun,Baldur's Gate 3,Diğer Oyunlar,,,,4,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Baldur's Gate 3\The Emperor
GAM-0012,Orin the Red2,Oyun,Baldurs gate 3,Diğer Oyunlar,,,,3,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Baldurs gate 3\Orin the Red2
GAM-0013,Casca,Oyun,Berserk,Diğer Oyunlar,,,,5,Evet,C:\Users\baris\NyraCatalogManager\output\oyun\Berserk\Casca
